IT Indicated in Gold,"System
Policy/Standard/Guideline",Type,Priority,Confirmed in Gold (Validated),SCI Point of Contact ,Analyst,Application,Specialty/Primary Impacted Dept./Discipline,Specialized Workflow Needed?,Brief Details,Link to Policy/ Guideline ,Intake Slide,"Link to Document/ 
EHR Requirements",System Sponsor,Comments/Follow-up,CSH Standards of Practice - https://sites.google.com/commonspirit.org/nnpatientcareservices/home/professional-practice/standards-of-practice,,,
,E-Signature in Epic Templates,,1,,Ashley Hubbard,,Orders,Provider/Nursing,,,,,,,,,,,
,Antimicrobial Steardship for ARTIs,,1,,Ashley Hubbard,,Willow / Orders,Pharmacy,No,,,,,,,,,,
,C-Auris,Guideline,1,No,Brooke Snow,,Clin Doc / Orders,Provider/Nursing,Yes,,,System Initiative Candida auris ,Candida auris _SCI Workbook,Becky Leach,Each Epic instance has slightly different build - need to finalize build and workflow with Bugsy piece included in order to finalize Gold build,,,,
,Core Nursing - Standard of Practice,,1,Yes,Brooke Snow & Marisa Radick,,Clin Doc,Nursing,No,,"https://sites.google.com/commonspirit.org/nnpatientcareservices/home/professional-practice/standards-of-practice

CommonSpirit Core Nursing Standards of Practice.docx",,Gold Build: EHR Content Review- Core Nursing SOP,,,,,,
,Yale Swallow Screen ,Policy,1,Yes,Dawn Jacobson,,Clin Doc,Provider/Nursing,No,"Via email on 11/20. Christi confirmed in Gold, and will remove TF as exclusion criteria.
2.11 - Stroke Narrator does not contain Yale Swallow Screening.  ASAP team is replacing the current screening documentation with Yale for Wave 3.",,,,,,,,,
,Age Friendly Documentation,Board Goal,1,No,Dawn Jacobson,,Clindoc,Provider/Nursing,Yes,,,,,,,,,,
Yes,Suicide Risk Policy,Policy,1,Yes,Jason & Sherry,,Clin Doc,BHU/Nursing,Yes,See details. Note: No decisions yet as to which dashboards in Epic Gold will update with which suicide risk details,Clinical A-025 Identifying and Assessing Patients at Risk of Suicide-Self-Harm PandP PENDING,,,Paul Rains,,,,,
,Emergency Services - Standard of Practice,Standards of practice,1,Yes,Jason Mihos & Sherry Brennaman,,ASAP,ED nursing,No,See details. Questions about next steps (ED SoP updates needed?) -- will confirm with Tiffany,CSH Emergency Department Nursing Standards of Practice -FInal.docx,,,,,,,,
,Bladder Management,Policy,1,No,Trudy Finch,,Clin Doc / Orders,Provider/Nursing,Yes,Ensuring the Indications from policy are in Gold,"Bladder Management Policy.pdf

https://commonspirit-national.policystat.com/policy/13986669/latest#autoid-rdymk",,EHR Content,Rebecca Leach ,"Nursing-Missing 'Reason for Continuing IUC"" = Epidural in Place.  Policy does not recognize ""Provider Managed"" as a reason to continue.  Nurse is able to place an IUC without a LIP Order.  Not a clear place to document alternative management strategies attempted.  

Provider-The order for Urinary Catheter does not have any required 'Criteria for Use' documentation requirements.    ",,,,
,Perioperative - Standard of Practice,,1,,Kim Wilis,,,Nursing,No,,"https://sites.google.com/commonspirit.org/nnpatientcareservices/home/professional-practice/standards-of-practice


4. Perioperative Nursing Standards of Practice (Preop, Intraop, Postop) Final",,,,,,,,
,ICU Liberation,Guideline,1,Yes,Marisa Radick,,Clin Doc / Orders,Critical Care,Yes,Ensuring elements of the A-F bundle are built in Gold,CSH ICU Liberation ABCDEF Bundle Clinical Guidelines -Update Draft 2024).docx,Intake Slide ALM 4139,,Brenda Downs,"See tab for missing elements of bundle
Met with clin doc analysts on 2/11 to review needed build changes ",,,,
,Valuables and Belongings,Policy,1,No,Melissa Plummer,,Clin Doc,Nursing,Yes,Discharge for ED and for IP missing itemized list of pt belongings. Standardized Essential belongings not in Periop. - SEE Valuables & Belongings Tab,Template On Hold for V&B,,,,,,,,
,DAST-10 tool ,,1,No,Melissa Plummer,,Clin Doc,BHU/Nursing/Stork,Yes,Not in Epic Gold SEE Dast-10 Tab,No National Policy or Guideline,,,,,,,,
,Perinatal - Standad of Practice,,1,No,Melissa Plummer & Robin DeLorenzo,,,Nursing,No,,https://sites.google.com/commonspirit.org/nnpatientcareservices/home/professional-practice/standards-of-practice,,,,"Attached link does direct to site for SOP, however when clicking on Perinatal, the user is directed to WICI Institute page, which does not include SOP. VMMC does not have OB dept. Primary care may offer OB/GYN services, but patients are sent to FHS or another facility for delivery. ",,,,
,Telemetry,Policy,1,,Nicole Johnson,,Clin Doc / Orders,Provider/Nursing,Yes,,,,,,,,,,
Yes,Vascular Access,Policy,1,Yes,Robin DeLorenzo,,Clin Doc / Orders,Provider/Nursing,No,,"Clinical A-012 Vascular Access Selection, Adult POLICY w-Att 072722.pdf",,,,There is a DMND that is in progress to match the policy,,,,
,Extravasavation Tx,Policy,1,Yes,Robin DeLorenzo,,Clin Doc / Orders,Provider/Nursing,Yes,,,,,,A DMND is in progress to update the interventions per policy,,,,
,AMPAC Tool,Documentation,1,Yes,Robin DeLorenzo,,"Therapies OT,PT, SLP",Therapy,No,a documentation tool in Flowsheets needs licensure not approved,,,,,This is present in GOLD TST under therapy login,,,,
,Pediatric - Standards of Practice,,1,No,Robin DeLorenzo & Melissa Plummer,,,Nursing,No,,https://sites.google.com/commonspirit.org/nnpatientcareservices/home/professional-practice/standards-of-practice,,,,VMMC does not currently have a PEDs dept.  There are clinics but the SOP is specific to IP.,,,,
